Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
-1158,,,,,,,,About 1158-1148 BCE (10 years),Elon,8th judge of Israel <br>,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1148,,,,,,,,About 1148-1140 BCE (8 years),Abdon,6th judge of Israel <br>,https://assetsnffrgf-a.akamaihd.net/assets/m/1200001393/E/art/1200001393_E_cnt_1_xl.jpg,,,,,Judges,
-1140,,,,,,,,About 1140-1120 BCE (20 years),Samson,7th judge of Israel <br>,https://wol.jw.org/en/wol/mp/r1/lp-e/lfb/2017/387,,,,,Judges,
-1117,,,,,,,,,Samuel anoints Saul as king of Israel,1 Sam. 10:24; Acts 13:21,,,,,,Kings of Israel,
-1115,,,,,,,,,Saul offers a sacrafice,,https://wol.jw.org/en/wol/mp/r1/lp-e/w17/2017/83,,,,,Events,
-1107,,,,,,,,,Birth of David ,at Bethlehem <br>1 Sam. 16:1,,,,,,Persons,
-1100,,,,,,,,About 1100 BCE,Samuel completes the book of Judges,Judg. 21:25,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1090,,,,,,,,About 1090 BCE,Samuel completes the book of Ruth,Ruth 4:18-22,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1078,,,,,,,,About 1078 BCE,Book of 1 Samuel completed,1 Sam. 31:6,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1077,,,,,,,,,David becomes king of Judah at Hebron,2 Sam. 2:4,,,,,,Kings of Israel,
-1070,,,,,,,,After 1070 BCE,Covenant for a kingdom made with David,2 Sam. 7:12-16,,,,,,Covenants,
-1070,,,,,,,,After 1070 BCE,The Ark brought into Jerusalem,2 Sam. 6:15,,,,,,Events,
-1070,,,,,,,,,David becomes king over all Israel; makes Jerusalem his capital,2 Sam. 5:3-7,,,,,,Kings of Israel,
-1040,,,,,,,,About 1040 BCE,Gad and Nathan complete 2 Samuel,2 Sam. 24:18,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1037,,,,,,,,,Solomon succeeds David as king of Israel,1 Ki. 1:39; 2:12,,,,,,Kings of Israel,
-1034,,,,-1027,,,,1034-1027 BCE,Construction of the temple,"1 Ki. 6:1, 38",,,,,,Events,
-1020,,,,,,,,About 1020 BCE,Solomon completes The Song of Song of Solomon,Sol. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-1000,,,,,,,,Before 1000 BCE,Solomon completes the book of Ecclesiastes,Eccl. 1:1,https://assetsnffrgf-a.akamaihd.net/assets/m/502012493/univ/art/502012493_univ_lsr_xl.jpg,,,,,Bible writing,
-997,,,,,,,,,Kingdom split ,,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016055/univ/art/1102016055_univ_lsr_xl.jpg,,,,,Events,
-997,,,,,,,,,Rehoboam succeeds Solomon,1 Ki. 11:43,https://assetsnffrgf-a.akamaihd.net/assets/m/402018443/univ/art/402018443_univ_lsr_xl.jpg,,,,,Kings of Judah,
-997,,,,,,,,,Jeroboam begins reign,"1Ki 12:19, 20",,,,,,Kings of Israel,
-993,,,,,,,,993-992 BCE,Shishak invades Judah and takes treasures from temple,"1 Ki. 14:25, 26",,,,,,Events,
-980,,,,,,,,,Abijam (Abijah) succeeds Rehoboam,"1 Ki. 15:1, 2",,,,,,Kings of Judah,
-977,,,,,,,,,Asa succeeds Abijam,"1 Ki. 15:9, 10",,,,,,Kings of Judah,
-977,1,,,,,,,After 977 BCE,Asa's reforms,1 Ki. 15; 2Ch 15,https://wol.jw.org/en/wol/mp/r1/lp-e/w20/2020/684,,,,,Events,
-976,,,,,,,,About 976 BCE,Nadab succeeds Jeroboam,1 Ki. 14:20,,,,,,Kings of Israel,
-975,,,,,,,,About 975 BCE,Baasha succeeds Nadab,1 Ki. 15:33,,,,,,Kings of Israel,
-967,,,,,,,,About 967 BCE,Judah defeats Ethiopians,"At Mareshah <br>Ethiopian Zerah's march against Asa with a million men, and a complete defeat (2Ch 14)",https://assetsnffrgf-a.akamaihd.net/assets/m/2020565/univ/art/2020565_univ_cnt_3_xl.jpg,,,,,Events,
-961,,,,,,,,About 962-961 BCE,Asa's treaty with Syria,,,,,,,Events,
-952,,,,,,,,About 952 BCE,Elah succeeds Baasha,1 Ki. 16:8,,,,,,Kings of Israel,
-951,,,,,,,,About 951 BCE,Zimri succeeds Elah; Omri and Tibni succeed Zimri,1 Ki. 16:15; 1 Ki. 16:21,,,,,,Kings of Israel,
-947,,,,,,,,About 947 BCE,Omri rules alone,"1 Ki. 16:22, 23",,,,,,Kings of Israel,
-940,,,,,,,,About 940 BCE,Ahab succeeds Omri,1 Ki. 16:29,,,,,,Kings of Israel,
-940,,,,,,,,After 940-before 905 BCE,Elijah begins prophecying,,https://assetsnffrgf-a.akamaihd.net/assets/m/1102013256/univ/art/1102013256_univ_lsr_xl.jpg,,,,,Prophets,
-937,,,,,,,,After 937 BCE,Elijah and the Baal prophets at Carmel,1 Ki. 18,https://assetsnffrgf-a.akamaihd.net/assets/m/1102013256/univ/art/1102013256_univ_cnt_2_xl.jpg,,,,,Events,
-937,,,,,,,,After 937 BCE,Elijah flees away from Jesabel,1 Ki. 19,https://assetsnffrgf-a.akamaihd.net/assets/m/1102016057/univ/art/1102016057_univ_lsr_xl.jpg,,,,,Events,
-936,,,,,,,,,Jehoshaphat succeeds Asa,"1 Ki. 22:41, 42",,,,,,Kings of Judah,
-933,,,,,,,,,Jehoshaphat's teaching campaign,2Ch 17:7-9,,,,,,Events,
